feature,mean_abs_shap
sig_crash,0.1275284
sig_attachment,0.05648652
sig_ui_minor,0.013924419
graphlens_signal_count,0.012134814
sig_security,0.0051667327
sig_html_render,0.003519847
sig_account,0.0022472444
sig_data_loss,0.0019690008
sig_regression,0.0018458356
sig_hang,0.0013181195
sig_message_list,0.0012256011
sig_folder,0.00058597315
sig_addon,0.0005461784
sig_address_book,0.00045324152
sig_compose,0.0004376778
sig_blocking,0.0003181116
sig_exception,0.00012670917
sig_steps,4.912131e-05
sig_qr_code,3.6721143e-05
sig_oom,0.0
sig_startup_crash,0.0
sig_accessibility,0.0
sig_memory,0.0
sig_performance,0.0
sig_enhancement,0.0
sig_crash_signature,0.0
sig_keyboard,0.0
sig_spell_check,0.0
sig_startup,0.0
