feature,mean_abs_shap
initial_priority_is_unknown,0.13084908
sig_crash,0.1275284
initial_priority_is_unset,0.08792636
sig_attachment,0.05648652
summary_len_safe_log,0.04217456
uppercase_ratio,0.036026422
initial_priority_rank_model,0.034606017
initial_priority_urgency_score,0.030712476
word_count,0.026281651
sig_ui_minor,0.013924419
has_steps_to_reproduce,0.01353526
graphlens_signal_count,0.012134814
punctuation_density,0.011636278
initial_priority_is_p1,0.009775433
char_count,0.006963795
initial_priority_is_p3,0.0067539085
sig_security,0.0051667327
bug_report_text_missing,0.004843784
sig_html_render,0.003519847
bug_text_len_safe_log,0.0034377698
model_text_len_safe_log,0.0033317807
sig_account,0.0022472444
sig_data_loss,0.0019690008
sig_regression,0.0018458356
sig_hang,0.0013181195
sig_message_list,0.0012256011
has_bug_report_text,0.0005989102
sig_folder,0.00058597315
sig_addon,0.0005461784
sig_address_book,0.00045324152
sig_compose,0.0004376778
sig_blocking,0.0003181116
has_stack_trace,0.00012877326
sig_exception,0.00012670917
initial_priority_is_p2,0.00011681951
sig_steps,4.912131e-05
sig_qr_code,3.6721143e-05
sig_oom,0.0
sig_startup_crash,0.0
sig_accessibility,0.0
sig_memory,0.0
sig_performance,0.0
sig_enhancement,0.0
sig_crash_signature,0.0
sig_keyboard,0.0
sig_spell_check,0.0
sig_startup,0.0
has_bug_text,0.0
text_is_summary_only,0.0
initial_priority_valid_signal_num,0.0
is_ci_log_like,0.0
initial_priority_is_set_num,0.0
no_initial_priority_signal,0.0
initial_priority_is_p5,0.0
initial_priority_is_p4,0.0
