id,_id,product,severity,summary,bug_report_text,votes,op_sys,is_open,status,creation_time,comment_count,duplicates,blocks,flags,depends_on,keywords,classification,whiteboard,assigned_to,cf_performance_impact,severity_clean,project,label_stage1,text,has_bug_report_text,is_ci_log_like,has_stack_trace,has_steps_to_reproduce,summary_clean,bug_report_text_clean,model_text,has_bug_text,summary_len,bug_text_len,model_text_len,votes_log,comment_count_log,days_to_resolve_log,id_clean,pseudo_high_prob_all_signal,pseudo_label_all_signal,mismatch_type_all_signal,is_mismatch_all_signal,bug_id_clean_for_initial_priority,bugzilla_current_priority,bugzilla_current_priority_clean,initial_priority,initial_priority_clean,initial_priority_rank,initial_priority_is_set,initial_priority_is_p1_p2,initial_priority_valid_signal,initial_priority_signal_category,priority_changed,priority_change_count,first_priority_change_time,first_priority_removed,first_priority_added,priority_change_path,priority_confidence,history_ok,history_event_count,history_status_code,component,type,version,platform,cf_last_resolved,creator_contributor_match,creator_bugs_filed,creator_comments_made,creator_patches_submitted,creator_patches_reviewed,creator_bugs_poked,creator_bugs_filed_log,creator_comments_made_log,creator_patches_submitted_log,creator_patches_reviewed_log,creator_activity_score,creator_experience_level,creator_experience_rank,severity_lm,label_lm,text_final,project_norm,low_typo_wording,low_cosmetic,low_alignment_layout,low_icon_color_theme,low_documentation,low_localization,low_preference_minor,low_nitpick,low_enhancement_like,low_test_only,med_regression,med_function_broken,med_core_workflow,med_mail_account,med_sync_calendar,med_attachment,med_folder_message,med_data_visible_missing,med_performance_moderate,med_reproducible,med_platform_specific,med_accessibility,risk_crash,risk_security,risk_data_loss,risk_hang_freeze,risk_oom,risk_startup_blocker,anti_not_crash,anti_not_security,anti_minor_language,anti_workaround,anti_low_impact,low_pattern_count,medium_pattern_count,high_risk_pattern_count,anti_high_pattern_count,no_high_risk_signal,medium_minus_low_pattern_score,low_minus_medium_pattern_score,char_count,word_count,uppercase_ratio,punctuation_density,component_clean_lm,component_missing_lm,type_clean_lm,type_missing_lm,version_clean_lm,version_missing_lm,platform_clean_lm,platform_missing_lm,op_sys_clean_lm,op_sys_missing_lm,creator_experience_level_clean_lm,creator_experience_level_missing_lm,component_family_lm,initial_priority_clean_lm,initial_priority_rank_lm,initial_priority_is_p3_or_lower_lm,initial_priority_is_unset_lm,prob_medium,pred_lm,pred_severity_lm,true_severity_lm,threshold_used
1566911,1566911,Thunderbird,normal,Privacy & Security Preferences: right align certificates buttons,"In the `Privacy & Security` > `Certificates` section, the 2 buttons should be right aligned like we're doing for every button in this new Preferences UI. Align the ""Manage Certificates"" button to the right, on the same line of the ""Query OCSP responder..."" string. Align the ""Security Devices"" button to right, underneath the ""Manage Certificates"" button.",0,Unspecified,0,RESOLVED,2019-07-17T17:46:15Z,5.0,,,,,,Client Software,,richard.marti@gmail.com,,not_high,Thunderbird,not_high,"Privacy & Security Preferences: right align certificates buttons [SEP] In the `Privacy & Security` > `Certificates` section, the 2 buttons should be right aligned like we're doing for every button in this new Preferences UI. Align the ""Manage Certificates"" button to the right, on the same line of the ""Query OCSP responder..."" string. Align the ""Security Devices"" button to right, underneath the ""Manage Certificates"" button.",1,0,0,0,Privacy & Security Preferences: right align certificates buttons,"In the `Privacy & Security` > `Certificates` section, the 2 buttons should be right aligned like we're doing for every button in this new Preferences UI. Align the ""Manage Certificates"" button to the right, on the same line of the ""Query OCSP responder..."" string. Align the ""Security Devices"" button to right, underneath the ""Manage Certificates"" button.","Privacy & Security Preferences: right align certificates buttons [SEP] In the `Privacy & Security` > `Certificates` section, the 2 buttons should be right aligned like we're doing for every button in this new Preferences UI. Align the ""Manage Certificates"" button to the right, on the same line of the ""Query OCSP responder..."" string. Align the ""Security Devices"" button to right, underneath the ""Manage Certificates"" button.",1,64,355,426,0.0,1.791759469228055,0.0,1566911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,medium,1,"Privacy & Security Preferences: right align certificates buttons [SEP] In the `Privacy & Security` > `Certificates` section, the 2 buttons should be right aligned like we're doing for every button in this new Preferences UI. Align the ""Manage Certificates"" button to the right, on the same line of the ""Query OCSP responder..."" string. Align the ""Security Devices"" button to right, underneath the ""Manage Certificates"" button.",Thunderbird,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,1,426,65,0.06103286384976526,0.01643192488262911,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,other,UNKNOWN,99.0,0,1,0.4988709954010043,0,low,medium,0.62
1507010,1507010,Thunderbird,normal,Window has odd borders and fullscreens instead of maximizing when mail.tabs.drawInTitlebar = true,"Created attachment 9024886 20181114-010643.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0 Steps to reproduce: I upgraded to Thunderbird 60.3.0 on Windows 10. Actual results: The Thunderbird window has an odd non-interactive border around it that is composed of glitched versions of other sections of the UI. Maximizing the Thunderbird window results in thunderbird going ""full screen"", maximizing over the task bar. Expected results: The thunderbird window has no border when maximized and no additional border apart from the Windows one. Maximizing Thunderbird should behave like any other program, not hiding the task bar.",0,Unspecified,0,RESOLVED,2018-11-14T00:07:55Z,23.0,,,,,,Client Software,,nobody@mozilla.org,,not_high,Thunderbird,not_high,"Window has odd borders and fullscreens instead of maximizing when mail.tabs.drawInTitlebar = true [SEP] Created attachment 9024886 20181114-010643.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0 Steps to reproduce: I upgraded to Thunderbird 60.3.0 on Windows 10. Actual results: The Thunderbird window has an odd non-interactive border around it that is composed of glitched versions of other sections of the UI. Maximizing the Thunderbird window results in thunderbird going ""full screen"", maximizing over the task bar. Expected results: The thunderbird window has no border when maximized and no additional border apart from the Windows one. Maximizing Thunderbird should behave like any other program, not hiding the task bar.",1,0,0,1,Window has odd borders and fullscreens instead of maximizing when mail.tabs.drawInTitlebar = true,"Created attachment 9024886 20181114-010643.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0 Steps to reproduce: I upgraded to Thunderbird 60.3.0 on Windows 10. Actual results: The Thunderbird window has an odd non-interactive border around it that is composed of glitched versions of other sections of the UI. Maximizing the Thunderbird window results in thunderbird going ""full screen"", maximizing over the task bar. Expected results: The thunderbird window has no border when maximized and no additional border apart from the Windows one. Maximizing Thunderbird should behave like any other program, not hiding the task bar.","Window has odd borders and fullscreens instead of maximizing when mail.tabs.drawInTitlebar = true [SEP] Created attachment 9024886 20181114-010643.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0 Steps to reproduce: I upgraded to Thunderbird 60.3.0 on Windows 10. Actual results: The Thunderbird window has an odd non-interactive border around it that is composed of glitched versions of other sections of the UI. Maximizing the Thunderbird window results in thunderbird going ""full screen"", maximizing over the task bar. Expected results: The thunderbird window has no border when maximized and no additional border apart from the Windows one. Maximizing Thunderbird should behave like any other program, not hiding the task bar.",1,97,672,776,0.0,3.1780538303479458,0.0,1507010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,medium,1,"Window has odd borders and fullscreens instead of maximizing when mail.tabs.drawInTitlebar = true [SEP] Created attachment 9024886 20181114-010643.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0 Steps to reproduce: I upgraded to Thunderbird 60.3.0 on Windows 10. Actual results: The Thunderbird window has an odd non-interactive border around it that is composed of glitched versions of other sections of the UI. Maximizing the Thunderbird window results in thunderbird going ""full screen"", maximizing over the task bar. Expected results: The thunderbird window has no border when maximized and no additional border apart from the Windows one. Maximizing Thunderbird should behave like any other program, not hiding the task bar.",Thunderbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,-3,776,111,0.041237113402061855,0.028350515463917526,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,other,UNKNOWN,99.0,0,1,0.4886664209139343,0,low,medium,0.62
1894375,6738e4d7f2ae4a1eb9e06b97,Thunderbird,S3,Disabled add-on leads to strange console errors,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0

Steps to reproduce:

Run TB 115 on a new profile. Install an add-on that is known not to work in Daily, for example QuickText.
Run Daily on the same profile.


Actual results:

Strange console errors, see screenshot.


Expected results:

Add-on should just be disabled.",0,Unspecified,0,RESOLVED,2024-04-30 21:58:42+00:00,3.0,[],[],[],[],['regression'],Client Software,,h.w.forms@arcor.de,,not_high,Thunderbird,not_high,"Disabled add-on leads to strange console errors [SEP] User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0 Steps to reproduce: Run TB 115 on a new profile. Install an add-on that is known not to work in Daily, for example QuickText. Run Daily on the same profile. Actual results: Strange console errors, see screenshot. Expected results: Add-on should just be disabled.",1,0,0,1,Disabled add-on leads to strange console errors,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0 Steps to reproduce: Run TB 115 on a new profile. Install an add-on that is known not to work in Daily, for example QuickText. Run Daily on the same profile. Actual results: Strange console errors, see screenshot. Expected results: Add-on should just be disabled.","Disabled add-on leads to strange console errors [SEP] User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0 Steps to reproduce: Run TB 115 on a new profile. Install an add-on that is known not to work in Daily, for example QuickText. Run Daily on the same profile. Actual results: Strange console errors, see screenshot. Expected results: Add-on should just be disabled.",1,47,355,409,0.0,1.3862943611198906,1.9459101490553128,1894375,,,,,1894375.0,--,--,--,--,99.0,0.0,0.0,0.0,EXCLUDE_INITIAL_UNSET,False,0.0,,,,--,history_ok_no_priority_change_current_priority_fallback,1.0,20.0,200.0,Add-Ons: General,defect,Thunderbird 119,Unspecified,2024-05-07T17:22:39Z,1.0,36.0,926.0,0.0,0.0,1263.0,3.610917912644224,6.831953565565855,0.0,0.0,3.171849669435283,experienced,3.0,medium,1,"Disabled add-on leads to strange console errors [SEP] User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0 Steps to reproduce: Run TB 115 on a new profile. Install an add-on that is known not to work in Daily, for example QuickText. Run Daily on the same profile. Actual results: Strange console errors, see screenshot. Expected results: Add-on should just be disabled.",Thunderbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,-2,409,63,0.06601466992665037,0.04156479217603912,add-ons: general,0,defect,0,thunderbird 119,0,unknown,1,unknown,1,experienced,0,other,--,99.0,0,1,0.3810575382030309,0,low,medium,0.62
1626463,1626463,Thunderbird,normal,Wrong height of the Subject input field in the message compose window,"Created attachment 9137313 Screenshot from 2020-03-31 16-58-42.png The Subject line now has double of the height. I noticed this this afternoon for the first time, definitely a regression, probably coming from m-c as we haven't touched the related CSS files in a while.",0,Unspecified,0,RESOLVED,2020-04-01T00:02:20Z,7.0,,,,,regression,Client Software,,richard.marti@gmail.com,,not_high,Thunderbird,not_high,"Wrong height of the Subject input field in the message compose window [SEP] Created attachment 9137313 Screenshot from 2020-03-31 16-58-42.png The Subject line now has double of the height. I noticed this this afternoon for the first time, definitely a regression, probably coming from m-c as we haven't touched the related CSS files in a while.",1,0,0,0,Wrong height of the Subject input field in the message compose window,"Created attachment 9137313 Screenshot from 2020-03-31 16-58-42.png The Subject line now has double of the height. I noticed this this afternoon for the first time, definitely a regression, probably coming from m-c as we haven't touched the related CSS files in a while.","Wrong height of the Subject input field in the message compose window [SEP] Created attachment 9137313 Screenshot from 2020-03-31 16-58-42.png The Subject line now has double of the height. I noticed this this afternoon for the first time, definitely a regression, probably coming from m-c as we haven't touched the related CSS files in a while.",1,69,269,345,0.0,2.079441541679836,0.0,1626463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,medium,1,"Wrong height of the Subject input field in the message compose window [SEP] Created attachment 9137313 Screenshot from 2020-03-31 16-58-42.png The Subject line now has double of the height. I noticed this this afternoon for the first time, definitely a regression, probably coming from m-c as we haven't touched the related CSS files in a while.",Thunderbird,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,-3,345,56,0.03768115942028986,0.008695652173913044,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,other,UNKNOWN,99.0,0,1,0.4599910085988697,0,low,medium,0.62
1922257,1922257,Thunderbird,S3,Add an overflow menu for toolbar to avoid buttons becoming invisible/unusable,"Created attachment 9428528 mozilla overflow 1.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0 Steps to reproduce: Added some buttons to the toolbar (screenshot 1). Actual results: When resizing the window to make it fit a smaller screen, then on the right side of the toolbar the buttons disappeared behind the menu button and were not visible/usable anymore. Expected results: When the window is resized to a smaller size, instead of disappearing and becoming unusable, there should be a overflow menu like in Firefox (screenshot 2). This would make the buttons stay usable.",0,Unspecified,1,NEW,2024-10-02T13:41:55Z,4.0,,1811380,,,,Client Software,,nobody@mozilla.org,,not_high,Thunderbird,not_high,"Add an overflow menu for toolbar to avoid buttons becoming invisible/unusable [SEP] Created attachment 9428528 mozilla overflow 1.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0 Steps to reproduce: Added some buttons to the toolbar (screenshot 1). Actual results: When resizing the window to make it fit a smaller screen, then on the right side of the toolbar the buttons disappeared behind the menu button and were not visible/usable anymore. Expected results: When the window is resized to a smaller size, instead of disappearing and becoming unusable, there should be a overflow menu like in Firefox (screenshot 2). This would make the buttons stay usable.",1,0,0,1,Add an overflow menu for toolbar to avoid buttons becoming invisible/unusable,"Created attachment 9428528 mozilla overflow 1.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0 Steps to reproduce: Added some buttons to the toolbar (screenshot 1). Actual results: When resizing the window to make it fit a smaller screen, then on the right side of the toolbar the buttons disappeared behind the menu button and were not visible/usable anymore. Expected results: When the window is resized to a smaller size, instead of disappearing and becoming unusable, there should be a overflow menu like in Firefox (screenshot 2). This would make the buttons stay usable.","Add an overflow menu for toolbar to avoid buttons becoming invisible/unusable [SEP] Created attachment 9428528 mozilla overflow 1.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0 Steps to reproduce: Added some buttons to the toolbar (screenshot 1). Actual results: When resizing the window to make it fit a smaller screen, then on the right side of the toolbar the buttons disappeared behind the menu button and were not visible/usable anymore. Expected results: When the window is resized to a smaller size, instead of disappearing and becoming unusable, there should be a overflow menu like in Firefox (screenshot 2). This would make the buttons stay usable.",1,77,624,708,0.0,1.6094379124341005,0.0,1922257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,medium,1,"Add an overflow menu for toolbar to avoid buttons becoming invisible/unusable [SEP] Created attachment 9428528 mozilla overflow 1.png User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0 Steps to reproduce: Added some buttons to the toolbar (screenshot 1). Actual results: When resizing the window to make it fit a smaller screen, then on the right side of the toolbar the buttons disappeared behind the menu button and were not visible/usable anymore. Expected results: When the window is resized to a smaller size, instead of disappearing and becoming unusable, there should be a overflow menu like in Firefox (screenshot 2). This would make the buttons stay usable.",Thunderbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,-4,708,108,0.031073446327683617,0.02401129943502825,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,other,UNKNOWN,99.0,0,1,0.557122109585101,0,low,medium,0.62
1618616,1618616,Thunderbird,normal,Button overlap in Accounts Settings pane with smaller windows,"Created attachment 9129557 overlap.png When the Default Identity description wraps to a second line, because the window is too small, the ""Manage Identities..."" button overlaps the ""Edit SMTP server..."". This comes probably because of the change to use <fieldset>.",0,Unspecified,0,RESOLVED,2020-02-27T18:31:51Z,10.0,1631222,1628497,,,,Client Software,,richard.marti@gmail.com,,not_high,Thunderbird,not_high,"Button overlap in Accounts Settings pane with smaller windows [SEP] Created attachment 9129557 overlap.png When the Default Identity description wraps to a second line, because the window is too small, the ""Manage Identities..."" button overlaps the ""Edit SMTP server..."". This comes probably because of the change to use <fieldset>.",1,0,0,0,Button overlap in Accounts Settings pane with smaller windows,"Created attachment 9129557 overlap.png When the Default Identity description wraps to a second line, because the window is too small, the ""Manage Identities..."" button overlaps the ""Edit SMTP server..."". This comes probably because of the change to use <fieldset>.","Button overlap in Accounts Settings pane with smaller windows [SEP] Created attachment 9129557 overlap.png When the Default Identity description wraps to a second line, because the window is too small, the ""Manage Identities..."" button overlaps the ""Edit SMTP server..."". This comes probably because of the change to use <fieldset>.",1,61,264,332,0.0,2.3978952727983707,0.0,1618616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,medium,1,"Button overlap in Accounts Settings pane with smaller windows [SEP] Created attachment 9129557 overlap.png When the Default Identity description wraps to a second line, because the window is too small, the ""Manage Identities..."" button overlaps the ""Edit SMTP server..."". This comes probably because of the change to use <fieldset>.",Thunderbird,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,-2,332,49,0.05421686746987952,0.02710843373493976,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,other,UNKNOWN,99.0,0,1,0.24166775348257044,0,low,medium,0.62
1673271,1673271,Thunderbird,normal,"Intermittent browser_policy_disable_developer_tools.js | Uncaught exception - [Exception... ""The request was blocked by a policy set by the system administrator.""  nsresult: ""0x80780003 (NS_ERROR_BLOCKED_BY_POLICY)""","**Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=319679496&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/RVq-Sv7XQdCWf9gUPfCcEw/runs/0/artifacts/public/logs/live_backing.log --- ``` Not sure what happened, possibly bug 1667113 again.```",0,Unspecified,0,RESOLVED,2020-10-25T22:40:58Z,4.0,,,,,,Client Software,,geoff@thunderbird.net,,not_high,Thunderbird,not_high,"Intermittent browser_policy_disable_developer_tools.js | Uncaught exception - [Exception... ""The request was blocked by a policy set by the system administrator."" nsresult: ""0x80780003 (NS_ERROR_BLOCKED_BY_POLICY)"" [SEP] **Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=319679496&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/RVq-Sv7XQdCWf9gUPfCcEw/runs/0/artifacts/public/logs/live_backing.log --- ``` Not sure what happened, possibly bug 1667113 again.```",1,0,1,0,"Intermittent browser_policy_disable_developer_tools.js | Uncaught exception - [Exception... ""The request was blocked by a policy set by the system administrator."" nsresult: ""0x80780003 (NS_ERROR_BLOCKED_BY_POLICY)""","**Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=319679496&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/RVq-Sv7XQdCWf9gUPfCcEw/runs/0/artifacts/public/logs/live_backing.log --- ``` Not sure what happened, possibly bug 1667113 again.```","Intermittent browser_policy_disable_developer_tools.js | Uncaught exception - [Exception... ""The request was blocked by a policy set by the system administrator."" nsresult: ""0x80780003 (NS_ERROR_BLOCKED_BY_POLICY)"" [SEP] **Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=319679496&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/RVq-Sv7XQdCWf9gUPfCcEw/runs/0/artifacts/public/logs/live_backing.log --- ``` Not sure what happened, possibly bug 1667113 again.```",1,214,344,565,0.0,1.6094379124341005,0.0,1673271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,medium,1,"Intermittent browser_policy_disable_developer_tools.js | Uncaught exception - [Exception... ""The request was blocked by a policy set by the system administrator."" nsresult: ""0x80780003 (NS_ERROR_BLOCKED_BY_POLICY)"" [SEP] **Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=319679496&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/RVq-Sv7XQdCWf9gUPfCcEw/runs/0/artifacts/public/logs/live_backing.log --- ``` Not sure what happened, possibly bug 1667113 again.```",Thunderbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,565,44,0.07787610619469026,0.03716814159292035,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,other,UNKNOWN,99.0,0,1,0.24703861564171353,0,low,medium,0.62
1762797,673fdf5f9a667681da31b517,Thunderbird,S3,Repeatedly keeps asking for password even after entering the correct one (after one wrong try),,0,Unspecified,0,RESOLVED,2022-04-03 20:56:11+00:00,7.0,[],[],[],[],[],Client Software,,nobody@mozilla.org,,not_high,Thunderbird,not_high,Repeatedly keeps asking for password even after entering the correct one (after one wrong try),0,0,0,0,Repeatedly keeps asking for password even after entering the correct one (after one wrong try),,Repeatedly keeps asking for password even after entering the correct one (after one wrong try),1,94,0,94,0.0,2.079441541679836,5.71042701737487,1762797,,,,,1762797.0,P3,P3,--,--,99.0,0.0,0.0,0.0,EXCLUDE_INITIAL_UNSET,True,1.0,2022-07-24T19:32:25Z,--,P3,-- -> P3,from_first_priority_change_removed_value,1.0,20.0,200.0,Security,defect,Thunderbird 91,Unspecified,2023-01-30T01:21:37Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.0,medium,1,Repeatedly keeps asking for password even after entering the correct one (after one wrong try),Thunderbird,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,94,15,0.010638297872340425,0.0,security,0,defect,0,thunderbird 91,0,unknown,1,unknown,1,unknown,1,security,--,99.0,0,1,0.42535917374723015,0,low,medium,0.62
1637805,1637805,Thunderbird,normal,"Intermittent Assertion failure: false (OOM while building cycle collector graph), at /builds/worker/checkouts/gecko/xpcom/base/nsCycleCollector.cpp (Win32 Thunderbird)",**Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=302139862&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/Cgp9Cz92Tz-m8xAs6a0V1w/runs/0/artifacts/public/logs/live_backing.log ---,0,Unspecified,0,RESOLVED,2020-05-13T23:41:07Z,28.0,,,,,assertion;intermittent-failure,Client Software,,nobody@mozilla.org,,not_high,Thunderbird,not_high,"Intermittent Assertion failure: false (OOM while building cycle collector graph), at /builds/worker/checkouts/gecko/xpcom/base/nsCycleCollector.cpp (Win32 Thunderbird) [SEP] **Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=302139862&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/Cgp9Cz92Tz-m8xAs6a0V1w/runs/0/artifacts/public/logs/live_backing.log ---",1,0,1,0,"Intermittent Assertion failure: false (OOM while building cycle collector graph), at /builds/worker/checkouts/gecko/xpcom/base/nsCycleCollector.cpp (Win32 Thunderbird)",**Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=302139862&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/Cgp9Cz92Tz-m8xAs6a0V1w/runs/0/artifacts/public/logs/live_backing.log ---,"Intermittent Assertion failure: false (OOM while building cycle collector graph), at /builds/worker/checkouts/gecko/xpcom/base/nsCycleCollector.cpp (Win32 Thunderbird) [SEP] **Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=302139862&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/Cgp9Cz92Tz-m8xAs6a0V1w/runs/0/artifacts/public/logs/live_backing.log ---",1,167,285,459,0.0,3.367295829986474,0.0,1637805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,medium,1,"Intermittent Assertion failure: false (OOM while building cycle collector graph), at /builds/worker/checkouts/gecko/xpcom/base/nsCycleCollector.cpp (Win32 Thunderbird) [SEP] **Filed by:** geoff [at] darktrojan.net **Parsed log:** https://treeherder.mozilla.org/logviewer.html#?job_id=302139862&repo=comm-central **Full log:** https://firefox-ci-tc.services.mozilla.com/api/queue/v1/task/Cgp9Cz92Tz-m8xAs6a0V1w/runs/0/artifacts/public/logs/live_backing.log ---",Thunderbird,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,-1,459,27,0.04357298474945534,0.034858387799564274,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,other,UNKNOWN,99.0,0,1,0.1976328554099263,0,low,medium,0.62
1521046,1521046,Thunderbird,normal,Improve browser/composeAction popup styling,There is a huge padding around the actual browser popup. This makes it look more like the Firefox browserAction popup.,0,Unspecified,0,RESOLVED,2019-01-18T11:34:38Z,4.0,,,,,,Client Software,,philipp@bugzilla.kewis.ch,,not_high,Thunderbird,not_high,Improve browser/composeAction popup styling [SEP] There is a huge padding around the actual browser popup. This makes it look more like the Firefox browserAction popup.,1,0,0,0,Improve browser/composeAction popup styling,There is a huge padding around the actual browser popup. This makes it look more like the Firefox browserAction popup.,Improve browser/composeAction popup styling [SEP] There is a huge padding around the actual browser popup. This makes it look more like the Firefox browserAction popup.,1,43,118,168,0.0,1.6094379124341005,0.0,1521046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,medium,1,Improve browser/composeAction popup styling [SEP] There is a huge padding around the actual browser popup. This makes it look more like the Firefox browserAction popup.,Thunderbird,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,168,25,0.05357142857142857,0.011904761904761904,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,unknown,1,other,UNKNOWN,99.0,0,1,0.3495325142093289,0,low,medium,0.62
